employee_id,full_name,gender,department_id,job_title,hire_date,employee_status,termination_date,marital_status,email,base_salary
1021,GRACE MARTIN,Male,5,Financial Analyst,22-Dec-13,Active,,,grace.martin@abcorp.com,743560.06
1022,Musa Thomas,,7,Support Agent,7/7/2019,Active,,,musa.thomas@abcorp.com,691854.36
1023,Bukola Ogundipe,Female,8,  r&d engineer ,20-Sep-24,On Leave,,,bukola.ogundipe66@abcorp.com,645408.64
1024,Steven Thompson,Male,8,Lab Technician,22-Jan-23,Active,,,steven.thompson@abcorp.com,
1025,Ronald Ogundipe,Male,9,Compliance Officer,16-May-12,Active,,Widowed,ronald.ogundipe@abcorp.com,910031.69
1026,STEVEN ALIYU,Female,4,data analyst,23-Aug-03,Active,,,steven.aliyu@abcorp.com,337594.86
1027,Sandra Danjuma,Female,9,Contracts Manager,8/31/2019,Active,,Widowed,sandra.danjuma@abcorp.com,165625.57
1028,Sandra Moore,Male,8,R&D Engineer,18-Jan-22,Active,,Single,sandra.moore@abcorp.com,729345.1
1029,William Harris,Female,3,  Brand Executive ,1/14/2017,Active,,Widowed,william.harris@abcorp.com,853711.99
1030,Tayo Abubakar,Male,1,HR Officer,10/9/2017,On Leave,,Single,tayo.abubakar61@abcorp.com,601175.67
1031,Chinedu Yusuf,Male,10,  Procurement Officer ,18-Jul-01,Terminated,18-Mar-22,,chinedu.yusuf@abcorp.com,344279.5
1032,Anthony Nnamdi,Female,2,Sales Associate,6/4/2022,Active,,Widowed,anthony.nnamdi47@abcorp.com,812965.85
1033,Carol Ogundipe,Female,10,Vendor Coordinator,8/13/2018,On Leave,,Single,carol.ogundipe@abcorp.com,605879.72
1034,  Adaeze Perez ,Female,9,Legal Counsel,10/17/2020,Active,,Married,adaeze.perez@abcorp.com,702487.47
1035,fatima wilson,Female,7,Call Center Lead,16-09-2018,Terminated,2/2/2023,Divorced,fatima.wilson25@abcorp.com,744304.85
1036,Kelechi Miller,Male,5,Accountant,1/18/2019,Active,,Single,kelechi.miller6@abcorp.com,592687.17
1037,GEORGE ADEKUNLE,Male,1,Recruiter,5/10/2020,On Leave,,Single,george.adekunle81@abcorp.com,271381.61
1038,CHIDI ALLEN,Female,8,lab technician,18-May-02,Active,,Divorced,CHIDI.ALLEN95@ABCORP.COM,760189.68
1039,  Steven Ibrahim ,Male,4,  data analyst ,5/12/2022,Terminated,7/18/2024,,steven.ibrahim81@abcorp.com,793124.54
1040,Zainab Perez,Female,8,RESEARCH SCIENTIST,3/4/2020,Active,,,zainab.perez70@abcorp.com,
1041,ROBERT YOUNG,Female,10,Procurement Officer,7/23/2023,Active,,,robert.young@abcorp.com,618263.7
1042,Uche Danjuma,Female,5,payroll officer,23-Jul-13,Active,,Widowed,uche.danjuma15@abcorp.com,473340.05
1043,michelle white,Female,1,HR MANAGER,17-Dec-29,Active,,Divorced,michelle.white@abcorp.com,928517.45
1044,Joseph Ogundipe,Male,3,Brand Executive,14-01-2023,Terminated,23-12-2024,Widowed,joseph.ogundipe@abcorp.com,591012.06
1045,Sandra Adekunle,Female,1,Recruiter,21-02-2023,On Leave,,,sandra.adekunle@abcorp.com,507237.91
1046,Segun Martin,Female,4,Systems Administrator,28-06-2015,Terminated,21/04/20,Widowed,segun.martin@abcorp.com,"NGN 934,654.51"
1047,Amanda Ogundipe,Male,3,Brand Executive,5/5/2022,Active,,Widowed,amanda.ogundipe80@abcorp.com,669869.32
1048,MELISSA WILLIAMS,Male,4,Data Analyst,7/17/2020,Active,,Widowed,melissa.williams@abcorp.com,230405.79
1049,Folake Taylor,,10,Purchasing Manager,11/27/2016,Active,,,folake.taylor@abcorp.com,880263.21
1050,Melissa Okafor,Male,8,PRODUCT DEVELOPER,3/8/2021,Terminated,19/05/23,Divorced,melissa.okafor@abcorp.com,832668.37
1051,Daniel Bello,Male,10,PROCUREMENT OFFICER,10/21/2019,Active,,Divorced,daniel.bello46@abcorp.com,302105.59
1052,Jennifer Yusuf,Female,1,training coordinator,3/2/2019,Active,,Single,jennifer.yusuf@abcorp.com,310635.84
1053,  Carol Ibrahim ,Female,2,Regional Sales Lead,11/5/2015,On Leave,,Married,carol.ibrahim@abcorp.com,923815.8
1054,Aisha Lee,Female,6,  operations analyst ,7/27/2022,Active,,Single,aisha.lee@abcorp.com,638065.76
1055,john yusuf,Female,2,Sales Representative,17-Aug-19,Active,,Widowed,john.yusuf@abcorp.com,906779.27
1056,  adaeze williams ,Female,4,Systems Administrator,12/27/2019,On Leave,,Divorced,adaeze.williams@abcorp.com,932274.02
1057,Robert Brown,Female,4,IT Support Analyst,23-Oct-29,Active,,Single,robert.brown@abcorp.com,800442.38
1058,Melissa Okoro,Male,2,sales representative,6/23/2016,Active,,Married,MELISSA.OKORO34@ABCORP.COM,743374.45
1059,JENNIFER ROBINSON,Female,8,Research Scientist,15-Sep-07,On Leave,,Widowed,jennifer.robinson92@abcorp.com,208792.57
1060,Amanda Ibrahim,Female,9,Legal Assistant,10/29/2019,On Leave,,,amanda.ibrahim@abcorp.com,591068.18
1061,Femi Nnamdi,Female,5,finance manager,9/16/2017,Active,,Single,FEMI.NNAMDI56@ABCORP.COM,741036.8
1062,Mark Robinson,Male,5,Auditor,3/7/2018,Active,,,mark.robinson62@abcorp.com,236574.71
1063,Patricia Perez,Female,1,HR Manager,1/18/2024,On Leave,,Divorced,patricia.perez@abcorp.com,"NGN 264,601.19"
1064,KENNETH ADEKUNLE,Male,6,Logistics Coordinator,3/2/2023,On Leave,,,kenneth.adekunle@abcorp.com,
1065,Amina Young,Male,6,Warehouse Supervisor,30-03-2016,Terminated,11-Aug-23,Widowed,amina.young@abcorp.com,937556.53
1066,MICHELLE WALKER,Female,3,Marketing Manager,19-Apr-07,Terminated,31-Jul-21,,MICHELLE.WALKER@ABCORP.COM,
1067,  Sandra Ibrahim ,Male,7,Customer Service Rep,8/23/2018,On Leave,,,sandra.ibrahim@abcorp.com,499369.42
1068,ngozi jones,Male,9,Legal Assistant,5/3/2017,Active,,,ngozi.jones@abcorp.com,232243.62
1069,DONNA YOUNG,Female,10,Buyer,8/18/2016,Active,,Married,donna.young@abcorp.com,787063.74
1070,Barbara Thompson,Female,8,  Innovation Lead ,3/21/2020,Active,,Widowed,barbara.thompson@abcorp.com,634004.67
1071,Emeka Williams,Male,8,Lab Technician,20-Nov-16,Terminated,21-11-2020,Divorced,emeka.williams@abcorp.com,693118.18
1072,Karen Adekunle,Male,10,Purchasing Manager,3/12/2018,Terminated,5/25/2022,,karen.adekunle72@abcorp.com,783329.57
1073,mark thomas,Female,1,  Recruiter ,6/19/2018,Active,,Divorced,mark.thomas@abcorp.com,260052.28
1074,Nneka Allen,Male,10,Supply Chain Analyst,9/23/2016,Active,,,nneka.allen@abcorp.com,500138.72
1075,  Anthony Nwosu ,Female,8,R&D Engineer,2/19/2015,Terminated,10-Dec-23,Divorced,anthony.nwosu@abcorp.com,279646.54
1076,Ronald Davis,Female,2,Sales Manager,18-Jan-22,Terminated,27-Aug-19,Single,ronald.davis58@abcorp.com,894377.54
1077,  Richard Lewis ,Female,3,Marketing Manager,6/6/2015,On Leave,,Widowed,richard.lewis91@abcorp.com,"NGN 642,278.61"
1078,kelechi nwosu,Female,2,Sales Representative,17-Sep-03,Terminated,27-Dec-23,Single,kelechi.nwosu@abcorp.com,163148.28
1079,WILLIAM TAYLOR,Female,2,Sales Associate,21-Feb-06,On Leave,,,william.taylor@abcorp.com,658536.63
1080,Uche Rodriguez,Male,6,  process engineer ,10/18/2018,Active,,,uche.rodriguez@abcorp.com,799198.15
1081,Zainab Thomas,Female,9,Contracts Manager,11/3/2017,On Leave,,,zainab.thomas@abcorp.com,842638.62
1082,Amaka Anderson,Female,6,Process Engineer,12/28/2017,Terminated,10/5/2021,Widowed,amaka.anderson@abcorp.com,406969.14
1083,Jennifer Robinson,Female,10,Supply Chain Analyst,1/18/2029,On Leave,,Single,,660010.03
1084,John Rodriguez,Male,4,data analyst,19-Jan-23,Terminated,13-May-19,Married,john.rodriguez@abcorp.com,760467.58
1085,Michelle Taylor,Female,9,Legal Counsel,8/12/2017,Terminated,1/2/2022,,michelle.taylor@abcorp.com,248109.94
1086,  Femi Sanchez ,Female,2,SALES ASSOCIATE,29-01-2021,Active,,Married,femi.sanchez@abcorp.com,784957.11
1087,Fatima Ogundipe,Male,10,Procurement Officer,27-09-2015,Active,,,fatima.ogundipe@abcorp.com,808671.52
1088,AMAKA ALLEN,Male,7,Call Center Lead,8/15/2015,Terminated,18-09-2016,Married,amaka.allen@abcorp.com,907986.51
1089,Anthony Garcia,Male,10,Buyer,9/23/2016,Terminated,1/1/2023,,ANTHONY.GARCIA@ABCORP.COM,841024.95
1090,patricia anderson,Female,5,Payroll Officer,9/17/2030,Active,,Divorced,patricia.anderson@abcorp.com,482497.4
1091,Nancy Rodriguez,Female,9,Legal Assistant,10/3/2016,Active,,Widowed,nancy.rodriguez@abcorp.com,190484.23
1092,Femi Eze,Male,8,Innovation Lead,20-Mar-27,Active,,Widowed,,906186.24
1093,Steven Ibrahim,Male,2,Regional Sales Lead,2/7/2016,Terminated,7-Feb-20,Divorced,,190926.15
1094,  Jessica Rodriguez ,Male,7,support agent,30-11-2023,Terminated,1/10/2024,Married,JESSICA.RODRIGUEZ@ABCORP.COM,181131.17
1095,Femi Okafor,Female,10,VENDOR COORDINATOR,28-08-2021,Terminated,10-Nov-23,Widowed,femi.okafor3@abcorp.com,689045.11
1096,Ifeoma Robinson,Male,10,Supply Chain Analyst,16-Nov-29,Terminated,1-Feb-24,Widowed,IFEOMA.ROBINSON@ABCORP.COM,"NGN 908,564.14"
1097,Steven Walker,Male,3,SEO Specialist,17-Apr-29,Active,,,steven.walker@abcorp.com,517730.83
1098,Carol Eze,Male,5,Auditor,5/7/2018,Active,,Divorced,carol.eze@abcorp.com,533842.74
1099,Daniel Musa,Male,5,Financial Analyst,3/18/2024,Active,,Divorced,daniel.musa@abcorp.com,321189.45
1100,Michael Sanchez,Male,4,Software Engineer,16-Feb-15,Active,,,michael.sanchez@abcorp.com,921615.01
1101,  Kelechi Chukwu ,Female,1,HR Officer,22-Apr-25,Active,,,KELECHI.CHUKWU@ABCORP.COM,887176.71
1102,Chiamaka Williams,Male,5,Auditor,10/4/2021,Active,,Divorced,chiamaka.williams@abcorp.com,861407.97
1103,  amaka smith ,Female,5,Auditor,7/25/2022,Active,,,amaka.smith@abcorp.com,562224.53
1104,Segun Aliyu,Female,6,Logistics Coordinator,7/21/2013,Terminated,,Divorced,SEGUN.ALIYU@ABCORP.COM,244579.88
1105,Chiamaka Okonkwo,Male,4,IT Support Analyst,5/12/2020,Active,,,chiamaka.okonkwo@abcorp.com,880237.51
1106,Amanda Aliyu,Female,2,Sales Associate,4/4/2016,On Leave,,,amanda.aliyu69@abcorp.com,412494.11
1107,KENNETH RODRIGUEZ,Female,8,Innovation Lead,15-Aug-25,Active,,,kenneth.rodriguez@abcorp.com,803162.58
1108,David Wilson,Male,5,Payroll Officer,1/7/2017,On Leave,,,david.wilson@abcorp.com,944285.28
1109,Tayo Davis,Male,9,Contracts Manager,12/6/2020,Terminated,4/1/2021,Single,tayo.davis@abcorp.com,489302.42
1110,John Sanchez,Female,10,Procurement Officer,9/12/2017,Active,,Single,john.sanchez@abcorp.com,"NGN 847,769.93"
1111,Chiamaka Abubakar,Female,10,buyer,8/23/2031,On Leave,,Divorced,chiamaka.abubakar@abcorp.com,567000.84
1112,Michelle Brown,Female,7,Call Center Lead,7/18/2029,Active,,Widowed,michelle.brown@abcorp.com,528815.06
1113,Amanda Rodriguez,Female,4,Data Analyst,12/4/2017,Terminated,20-Nov-17,Divorced,amanda.rodriguez@abcorp.com,364769.27
1114,Carol Balogun,Female,5,Financial Analyst,5/17/2017,Terminated,26/04/18,Widowed,carol.balogun@abcorp.com,467305.65
1115,Michelle Ogundipe,Male,8,Product Developer,12/4/2017,Active,,Widowed,,"NGN 841,267.87"
1116,  Ifeoma Uzoma ,Male,8,innovation lead,5/5/2022,Active,,Divorced,ifeoma.uzoma@abcorp.com,741675.27
1117,Linda Taylor,Male,2,  Sales Representative ,7/28/2023,Active,,Married,linda.taylor91@abcorp.com,"NGN 324,975.74"
1118,  ANTHONY JACKSON ,Female,1,HR Officer,8/12/2020,Active,,,anthony.jackson90@abcorp.com,794934.16
1119,OBINNA AFOLABI,Male,6,  WAREHOUSE SUPERVISOR ,20-Feb-24,Active,,,obinna.afolabi@abcorp.com,672988.58
1120,NGOZI GARCIA,Female,7,  Support Agent ,5/6/2021,Terminated,,Married,ngozi.garcia@abcorp.com,
1121,Femi Johnson,Male,10,Purchasing Manager,9/6/2023,On Leave,,Widowed,femi.johnson73@abcorp.com,817720.45
1122,Brian Walker,Female,1,HR Officer,11/26/2019,On Leave,,Single,brian.walker@abcorp.com,"NGN 467,362.44"
1123,ASHLEY ADEYEMI,Female,2,Sales Associate,4/24/2018,Terminated,10/29/2018,Divorced,ashley.adeyemi@abcorp.com,741724.23
1124,Amaka Nnamdi,Female,9,Legal Assistant,20-Sep-29,Active,,Single,amaka.nnamdi@abcorp.com,"NGN 777,550.98"
1125,Folake Martin,Male,7,Customer Success Manager,22-07-2016,Active,,Divorced,folake.martin56@abcorp.com,389801.8
1126,Sarah Yusuf,Male,7,support agent,21-Dec-15,On Leave,,Divorced,sarah.yusuf@abcorp.com,670829.49
1127,FEMI IBRAHIM,Female,10,Purchasing Manager,18-Aug-27,Active,,Widowed,femi.ibrahim@abcorp.com,947811.94
1128,David Danjuma,Female,3,Content Strategist,18-09-2017,Terminated,24/09/18,Widowed,david.danjuma77@abcorp.com,470644.08
1129,  Anthony Perez ,Male,2,Sales Manager,5/22/2017,Active,,Married,anthony.perez83@abcorp.com,469694.2
1130,Chidi Aliyu,Female,7,Client Relations Officer,8/23/2030,Terminated,8-Dec-24,Married,chidi.aliyu14@abcorp.com,886438.04
1131,Tayo Wilson,Male,8,Lab Technician,7/30/2018,Active,,Single,tayo.wilson44@abcorp.com,691711.47
1132,ifeoma afolabi,Male,3,Brand Executive,6/9/2019,Terminated,19-Mar-21,,ifeoma.afolabi28@abcorp.com,"NGN 751,860.40"
1133,  Aisha Sanchez ,Female,9,paralegal,21-Sep-11,Terminated,15-Mar-23,Single,aisha.sanchez@abcorp.com,800990.6
1134,amaka okonkwo,Male,9,Contracts Manager,19-Sep-10,Active,,,amaka.okonkwo82@abcorp.com,885328.8
1135,  Kemi Smith ,Female,3,Marketing Manager,19-Apr-22,Terminated,20-Jul-24,,kemi.smith@abcorp.com,283802.79
1136,Michelle Jackson,Male,10,  Procurement Officer ,18-Jan-02,On Leave,,Divorced,michelle.jackson@abcorp.com,503093.26
1137,Aisha Musa,Male,8,Research Scientist,9/12/2023,Active,,,aisha.musa@abcorp.com,656216.5
1138,Anthony Okafor,Female,5,Finance Manager,3/6/2021,On Leave,,,ANTHONY.OKAFOR@ABCORP.COM,920217.6
1139,Bukola Nwosu,Female,8,R&D Engineer,6/21/2023,Active,,,bukola.nwosu@abcorp.com,854100.07
1140,james allen,Male,8,Product Developer,15-Sep-17,Active,,Married,james.allen@abcorp.com,408292.12
1141,Jennifer Miller,Female,1,  HR Officer ,16-Oct-09,Active,,Single,jennifer.miller@abcorp.com,877525.77
1142,Ngozi Brown,Female,5,Accountant,10/19/2025,Active,,,ngozi.brown10@abcorp.com,"NGN 330,952.69"
1143,  Elizabeth Abubakar ,Female,2,Sales Representative,27-02-2016,Active,,Divorced,elizabeth.abubakar@abcorp.com,256516.98
1144,KAREN DANJUMA,Female,4,Software Engineer,2/16/2016,On Leave,,Single,karen.danjuma@abcorp.com,401602.93
1145,Patricia Sanchez,Female,4,  IT Manager ,21-Oct-21,Active,,,patricia.sanchez@abcorp.com,785022.43
1146,AHMED CHUKWU,Male,7,Call Center Lead,20-09-2019,Terminated,8-Dec-20,Single,,"NGN 204,026.06"
1147,Sandra Nnamdi,Female,2,Sales Associate,21-Jan-11,Active,,Divorced,sandra.nnamdi27@abcorp.com,274301.7
1148,Segun Brown,Male,2,Regional Sales Lead,16-Apr-20,Terminated,10/29/2022,Divorced,segun.brown@abcorp.com,"NGN 160,131.98"
1149,Fatima Rodriguez,Female,2,Sales Representative,18-Oct-04,Active,,,,"NGN 719,858.60"
1150,Ibrahim Allen,Male,10,Procurement Officer,7/17/2024,Terminated,,Single,ibrahim.allen6@abcorp.com,456383.58
1151,BUKOLA NWOSU,Female,6,Logistics Coordinator,15-Nov-16,Active,,Single,bukola.nwosu@abcorp.com,793470.42
1152,Kenneth Smith,Female,4,DATA ANALYST,28-04-2021,Terminated,6/29/2024,Widowed,kenneth.smith@abcorp.com,770708.76
1153,Mary Adekunle,Male,7,Support Agent,3/1/2016,Terminated,2-Sep-18,Widowed,mary.adekunle@abcorp.com,
1154,William Lee,Male,9,Compliance Officer,22-Feb-23,Active,,,william.lee@abcorp.com,339417.39
1155,  Elizabeth Eze ,Male,10,Procurement Officer,9/28/2016,Active,,Widowed,elizabeth.eze@abcorp.com,921707.78
1156,Jennifer Balogun,Female,3,Marketing Analyst,12/22/2022,Active,,Widowed,jennifer.balogun@abcorp.com,
1157,  SARAH DAVIS ,Male,1,HR Manager,6/19/2016,On Leave,,Widowed,sarah.davis@abcorp.com,615859.04
1158,  Uche Davis ,Male,8,Research Scientist,16-Nov-19,Active,,,uche.davis88@abcorp.com,433154.6
1159,Michelle Danjuma,Female,1,HR Officer,18-Feb-19,Active,,Widowed,michelle.danjuma@abcorp.com,654603.51
1160,Brian Chukwu,Female,5,Accountant,17-04-2015,Terminated,6/16/2017,Divorced,,943225.06
1161,Linda Young,Male,10,Supply Chain Analyst,12/24/2018,Active,,Married,linda.young@abcorp.com,
1162,Michelle Moore,Female,3,  Brand Executive ,6/5/2015,Active,,Married,MICHELLE.MOORE62@ABCORP.COM,884316.95
1163,Charles Allen,Male,9,Paralegal,25-10-2015,Terminated,5-Jun-22,,charles.allen@abcorp.com,276003.11
1164,KEMI ABUBAKAR,Male,7,Support Agent,3/23/2026,Active,,Married,kemi.abubakar90@abcorp.com,463281.14
1165,SUSAN ANDERSON,Male,6,Operations Analyst,1/9/2017,Active,,Married,susan.anderson@abcorp.com,686019.66
1166,James Brown,Female,8,  LAB TECHNICIAN ,16-Nov-12,Active,,Widowed,james.brown@abcorp.com,780984
1167,Aisha Miller,Male,6,Operations Manager,3/18/2019,Terminated,4-Nov-19,Single,aisha.miller@abcorp.com,713603.72
1168,Paul Ramirez,Female,5,FINANCE MANAGER,8/30/2017,Active,,Widowed,paul.ramirez@abcorp.com,438663.14
1169,Chiamaka Garcia,Female,2,Account Executive,23-Oct-20,Active,,Widowed,chiamaka.garcia83@abcorp.com,297904.98
1170,Linda Martinez,Male,2,ACCOUNT EXECUTIVE,21-Jan-26,On Leave,,,linda.martinez50@abcorp.com,484905.66
1171,John Thomas,Male,2,  Regional Sales Lead ,12/9/2016,Active,,Married,john.thomas@abcorp.com,498314.6
1172,Grace Jackson,Female,9,Paralegal,18-Feb-05,Active,,Single,grace.jackson@abcorp.com,485675.07
1173,Richard Ibrahim,Female,7,SUPPORT AGENT,4/19/2018,Active,,,richard.ibrahim36@abcorp.com,644595.59
1174,Obinna Okonkwo,Male,6,  Logistics Coordinator ,27-06-2018,On Leave,,Widowed,obinna.okonkwo@abcorp.com,332365.93
1175,George Balogun,Female,8,  INNOVATION LEAD ,3/12/2019,Terminated,10/13/2020,Divorced,george.balogun@abcorp.com,569428.97
1176,Ahmed Lewis,Male,5,Finance Manager,20-Mar-16,Active,,,ahmed.lewis@abcorp.com,541029.39
1177,Barbara Ibrahim,,7,Customer Service Rep,16-Oct-29,On Leave,,Married,barbara.ibrahim@abcorp.com,"NGN 365,266.86"
1178,  Mary Abubakar ,Female,10,Vendor Coordinator,12/22/2029,Terminated,18-Jul-23,Widowed,mary.abubakar@abcorp.com,391716.07
1179,KELECHI YUSUF,Male,8,Research Scientist,9/10/2018,Terminated,24-08-2021,Divorced,kelechi.yusuf@abcorp.com,300688.06
1180,Sarah Robinson,Male,8,Product Developer,17-Nov-28,Active,,Widowed,sarah.robinson@abcorp.com,802811.76
1181,Musa Okafor,Male,5,Financial Analyst,4/12/2020,Terminated,13/06/21,,musa.okafor88@abcorp.com,673547.72
1182,  Donna Davis ,Female,1,Training Coordinator,21-Jul-04,Active,,Widowed,donna.davis@abcorp.com,"NGN 455,335.38"
1183,Kenneth Martinez,Female,3,Marketing Analyst,20-06-2020,Terminated,28-12-2020,,,511642.58
1184,  ASHLEY WHITE ,Female,7,Client Relations Officer,20-May-09,Active,,Single,ashley.white@abcorp.com,863605.11
1185,  Zainab Rodriguez ,Male,7,Call Center Lead,8/8/2021,Active,,Single,zainab.rodriguez38@abcorp.com,566230.73
1186,Ngozi Afolabi,Male,4,IT Support Analyst,2/26/2023,Active,,,,553706.84
1187,Michael Sanchez,Male,1,HR Officer,9/26/2022,Active,,Widowed,michael.sanchez@abcorp.com,272501.68
1188,Sarah Danjuma,Male,9,Legal Assistant,27-04-2016,Active,,Single,sarah.danjuma@abcorp.com,815199.06
1189,Carol Adekunle,Male,1,  HR Officer ,7/14/2022,Active,,,carol.adekunle12@abcorp.com,210038.57
1190,Emeka Williams,Female,6,Logistics Coordinator,11/10/2019,Active,,Single,EMEKA.WILLIAMS@ABCORP.COM,260715.55
1191,Nneka Adeyemi,Male,7,client relations officer,13-02-2020,On Leave,,Widowed,nneka.adeyemi@abcorp.com,858899.11
1192,Carol Martin,Female,3,SEO Specialist,5/4/2019,Terminated,29/04/19,,carol.martin63@abcorp.com,
1193,Chidi Sanchez,,9,Legal Assistant,9/22/2020,Terminated,,Widowed,chidi.sanchez45@abcorp.com,663123.56
1194,Steven Anderson,Male,2,Regional Sales Lead,8/6/2018,Active,,Divorced,,328165.22
1195,Kimberly Chukwu,Male,8,Research Scientist,16-Feb-25,Active,,Single,kimberly.chukwu12@abcorp.com,920537
1196,Chidi Ogundipe,Female,9,LEGAL ASSISTANT,21-Sep-23,Terminated,7/9/2024,,chidi.ogundipe85@abcorp.com,423085.69
1197,Sarah Lewis,Female,2,Account Executive,11/7/2021,Active,,Single,sarah.lewis@abcorp.com,775136.32
1198,Kimberly Ogundipe,Male,8,Research Scientist,12/12/2020,Active,,,kimberly.ogundipe@abcorp.com,556666.32
1199,Bukola Thomas,Female,7,Call Center Lead,10/7/2022,Active,,Widowed,bukola.thomas@abcorp.com,256697.46
1200,Amina Eze,Male,10,Vendor Coordinator,13-09-2022,Terminated,29/09/22,,amina.eze70@abcorp.com,407905.12
1201,Anthony Ibrahim,Female,1,TRAINING COORDINATOR,3/12/2016,Active,,Married,,195283.82
1202,Yusuf Young,Male,6,Warehouse Supervisor,16-Feb-24,On Leave,,,yusuf.young@abcorp.com,599016.44
1203,Femi Jackson,Male,1,Recruiter,17-Apr-11,On Leave,,Widowed,femi.jackson@abcorp.com,668105.91
1204,ELIZABETH ADEYEMI,Male,9,Legal Counsel,3/26/2019,Active,,Divorced,elizabeth.adeyemi75@abcorp.com,154516.11
1205,MUSA ANDERSON,Female,2,Account Executive,11/22/2020,Active,,,,554112.28
1206,Amina Young,Female,9,legal counsel,4/16/2014,Active,,Widowed,amina.young@abcorp.com,
1207,Kelechi Johnson,Female,9,Legal Assistant,19-Dec-31,Active,,Divorced,KELECHI.JOHNSON66@ABCORP.COM,226765.14
1208,Mark Miller,Male,9,Contracts Manager,4/2/2022,Terminated,11/11/2022,Widowed,MARK.MILLER10@ABCORP.COM,785371.83
1209,Robert Uzoma,Male,9,Legal Counsel,12/3/2022,Terminated,10/5/2022,,,828600.99
1210,Chukwuemeka Afolabi,Male,8,R&D Engineer,12/25/2020,Active,,,chukwuemeka.afolabi@abcorp.com,918107.41
1211,charles davis,Male,1,Training Coordinator,21-Sep-09,Terminated,1/27/2024,Divorced,charles.davis@abcorp.com,319389.55
1212,michael young,Female,9,Legal Counsel,5/4/2018,Active,,Divorced,michael.young@abcorp.com,414680.75
1213,Zainab Ramirez,Male,10,Buyer,1/2/2019,Active,,Married,,346940.11
1214,  Donna Aliyu ,Female,5,PAYROLL OFFICER,3/9/2021,Active,,,donna.aliyu@abcorp.com,262001.33
1215,Patricia Lee,Female,10,  Purchasing Manager ,15-May-31,Active,,,patricia.lee@abcorp.com,268906.39
1216,Ahmed Thomas,Male,4,  IT Manager ,9/3/2022,On Leave,,,ahmed.thomas73@abcorp.com,677530.65
1217,Fatima Abubakar,Male,4,IT Manager,16-11-2023,Active,,Widowed,FATIMA.ABUBAKAR@ABCORP.COM,668819.8
1218,  Chukwuemeka Harris ,Female,6,PROCESS ENGINEER,4/30/2022,Terminated,31-May-23,Married,chukwuemeka.harris@abcorp.com,539489.25
1219,Amina Martinez,Male,3,Content Strategist,1/10/2021,On Leave,,Single,amina.martinez@abcorp.com,240670.96
1220,Chinedu Rodriguez,Male,10,Purchasing Manager,8/18/2015,Active,,Married,chinedu.rodriguez@abcorp.com,660098.17
1221,CAROL OKAFOR,Male,7,CALL CENTER LEAD,16-Aug-07,On Leave,,Married,carol.okafor@abcorp.com,698472.93
1222,Brian Clark,,3,SEO Specialist,1/30/2016,Active,,,brian.clark@abcorp.com,751906.52
